state_abbr,scenario_count_total,avg_rank,best_rank,is_ngl_current,is_must_have,Capacity,Commodity-specific supply,Demand,Trade/external network,family_count,construction_hybrid,domestic_bottleneck,domestic_broad_demand,grain_supply,snow_heat,tornado,trade_external_enhanced,wildfire_smoke,scenario_count_matrix
WA,8,4.125,1,True,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
MN,8,5.25,1,True,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
NC,8,9.75,1,False,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
NE,8,3.25,2,True,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
CO,8,8.75,3,True,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
KS,8,7.75,4,True,False,1,1,1,1,4,1,1,1,1,1,1,1,1,8
OR,7,7.285714285714286,5,True,False,1,1,1,1,4,1,1,1,1,1,0,1,1,7
WI,7,8.714285714285714,5,True,False,1,1,1,1,4,1,0,1,1,1,1,1,1,7
VA,6,11.333333333333334,2,False,False,1,1,1,1,4,1,1,1,1,0,0,1,1,6
AL,6,7.5,4,True,False,1,1,1,1,4,1,0,1,1,0,1,1,1,6
LA,7,4.285714285714286,1,True,False,1,1,1,0,3,1,1,1,1,1,1,0,1,7
SD,5,9.6,5,True,False,1,1,1,0,3,1,1,1,1,1,0,0,0,5
NV,5,11.2,8,True,False,1,0,1,1,3,0,1,1,0,1,0,1,1,5
UT,4,13.75,12,False,False,1,0,1,1,3,0,1,0,0,0,1,1,1,4
SC,3,11.666666666666666,6,False,False,0,1,1,1,3,1,0,0,1,0,0,1,0,3
IA,3,12.333333333333334,11,True,False,1,1,1,0,3,1,0,0,1,0,1,0,0,3
ND,3,12.666666666666666,12,False,False,1,1,1,0,3,1,0,0,1,1,0,0,0,3
OK,5,4.4,2,True,False,1,0,1,0,2,0,1,1,0,1,1,0,1,5
NM,5,13.4,10,False,False,1,0,1,0,2,0,1,1,0,1,1,0,1,5
NJ,2,1.0,1,False,False,0,0,1,1,2,0,1,0,0,0,0,1,0,2
