state_abbr,tttr_2017,tttr_2018,tttr_2019,tttr_change_pct_2017_2019,bottleneck_count,bottleneck_dpm,bottleneck_congestion_cost,state_fips,tttr_2019_rank_pct,tttr_change_rank_pct,bottleneck_count_rank_pct,bottleneck_dpm_rank_pct,bottleneck_cost_rank_pct,domestic_bottleneck_score
NY,1.39,1.43,1.47,6.0,4.5,455941.0,362500000.0,36,0.7708333333333334,0.9375,0.90625,0.9583333333333334,0.9583333333333334,90.625
TX,1.4,1.43,1.44,3.0,10.0,609472.0,477800000.0,48,0.6875,0.6145833333333334,0.9791666666666666,0.9791666666666666,0.9791666666666666,84.79166666666667
CA,1.69,1.72,1.71,1.0,18.0,1070251.0,908300000.0,06,0.8541666666666666,0.3333333333333333,1.0,1.0,1.0,83.75
VA,1.48,1.58,1.55,5.0,3.5,125077.5,117450000.0,51,0.8333333333333334,0.875,0.8125,0.75,0.8541666666666666,82.5
CO,1.37,1.38,1.45,6.0,3.0,159261.0,95400000.0,08,0.7395833333333334,0.9375,0.7604166666666666,0.8125,0.8125,81.25
NJ,1.82,1.89,1.89,4.0,2.5,179620.0,47600000.0,34,0.9791666666666666,0.7604166666666666,0.6979166666666666,0.875,0.6666666666666666,79.58333333333333
IL,1.3,1.33,1.33,2.0,7.0,455587.0,300100000.0,17,0.4895833333333333,0.4791666666666667,0.9583333333333334,0.9375,0.9375,76.04166666666667
MD,1.88,1.9,1.86,-1.0,4.5,152536.5,159950000.0,24,0.9583333333333334,0.08333333333333333,0.90625,0.7916666666666666,0.8958333333333334,72.70833333333334
LA,1.32,1.36,1.35,2.0,3.0,179952.0,138300000.0,22,0.53125,0.4791666666666667,0.7604166666666666,0.8958333333333334,0.875,70.83333333333334
GA,1.44,1.43,1.44,0.0,4.0,178707.0,198800000.0,13,0.6875,0.1875,0.8541666666666666,0.8541666666666666,0.9166666666666666,70.0
TN,1.35,1.37,1.35,0.0,6.0,227024.0,96800000.0,47,0.53125,0.1875,0.9375,0.9166666666666666,0.8333333333333334,68.125
CT,1.79,1.78,1.81,1.0,3.0,83943.0,61400000.0,09,0.9166666666666666,0.3333333333333333,0.7604166666666666,0.6875,0.7083333333333334,68.125
MO,1.25,1.28,1.3,4.0,3.0,99434.0,38500000.0,29,0.4583333333333333,0.7604166666666666,0.7604166666666666,0.7083333333333334,0.625,66.25
PA,1.35,1.39,1.36,1.0,4.0,174602.0,59500000.0,42,0.5729166666666666,0.3333333333333333,0.8541666666666666,0.8333333333333334,0.6875,65.625
MN,1.43,1.45,1.48,3.0,2.0,66530.0,13400000.0,27,0.7916666666666666,0.6145833333333334,0.625,0.625,0.5416666666666666,63.95833333333333
OH,1.33,1.37,1.36,2.0,2.5,76304.5,45950000.0,39,0.5729166666666666,0.4791666666666667,0.6979166666666666,0.6666666666666666,0.6458333333333334,61.25000000000001
AZ,1.18,1.18,1.24,5.0,1.0,48254.0,91200000.0,04,0.3125,0.875,0.5,0.5833333333333334,0.7916666666666666,61.25000000000001
OR,1.39,1.34,1.37,-1.0,4.0,132931.0,64800000.0,41,0.6041666666666666,0.08333333333333333,0.8541666666666666,0.7708333333333334,0.7291666666666666,60.83333333333333
UT,1.21,1.2,1.25,3.0,2.0,71549.0,68134000.0,49,0.3645833333333333,0.6145833333333334,0.625,0.6458333333333334,0.75,60.0
WA,1.63,1.61,1.54,-6.0,2.0,110492.0,75300000.0,53,0.8125,0.041666666666666664,0.625,0.7291666666666666,0.7708333333333334,59.583333333333336
MA,1.84,1.89,1.84,0.0,2.0,48112.0,28200000.0,25,0.9375,0.1875,0.625,0.5625,0.5833333333333334,57.91666666666667
FL,1.43,1.42,1.45,1.0,2.0,43514.0,36300000.0,12,0.7395833333333334,0.3333333333333333,0.625,0.5416666666666666,0.6041666666666666,56.875
DE,2.05,1.95,1.91,-7.0,1.0,28402.0,2700000.0,10,1.0,0.020833333333333332,0.5,0.5,0.4583333333333333,49.58333333333333
NM,1.13,1.13,1.18,4.0,1.0,31823.0,9700000.0,35,0.09375,0.7604166666666666,0.5,0.5208333333333334,0.5,47.5
RI,1.72,1.79,1.79,4.0,0.0,0.0,0.0,44,0.8958333333333334,0.7604166666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,45.625
VT,1.69,1.68,1.75,4.0,0.0,0.0,0.0,50,0.875,0.7604166666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,45.20833333333333
AL,1.19,1.21,1.22,3.0,1.0,23124.0,2500000.0,01,0.23958333333333334,0.6145833333333334,0.5,0.4583333333333333,0.4375,45.0
IN,1.23,1.21,1.25,2.0,1.0,23639.0,1500000.0,18,0.3645833333333333,0.4791666666666667,0.5,0.4791666666666667,0.4166666666666667,44.79166666666667
AR,1.2,1.21,1.21,1.0,1.0,51924.0,11700000.0,05,0.19791666666666666,0.3333333333333333,0.5,0.6041666666666666,0.5208333333333334,43.125
NV,1.28,1.27,1.28,0.0,1.0,22146.0,17000000.0,32,0.4166666666666667,0.1875,0.5,0.4166666666666667,0.5625,41.66666666666667
MI,1.38,1.4,1.44,4.0,0.0,0.0,0.0,26,0.6875,0.7604166666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,41.45833333333333
WV,1.21,1.27,1.29,7.0,0.0,0.0,0.0,54,0.4375,0.9895833333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,41.04166666666667
WI,1.16,1.26,1.24,7.0,0.0,0.0,0.0,55,0.3125,0.9895833333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,38.541666666666664
NC,1.39,1.41,1.43,3.0,0.0,0.0,0.0,37,0.6458333333333334,0.6145833333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,37.708333333333336
KY,1.24,1.33,1.24,0.0,0.5,22301.5,9150000.0,21,0.3125,0.1875,0.4166666666666667,0.4375,0.4791666666666667,36.66666666666667
NH,1.35,1.38,1.38,2.0,0.0,0.0,0.0,33,0.625,0.4791666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,34.583333333333336
IA,1.12,1.14,1.19,6.0,0.0,0.0,0.0,19,0.13541666666666666,0.9375,0.20833333333333334,0.20833333333333334,0.20833333333333334,33.95833333333333
ME,1.23,1.23,1.27,3.0,0.0,0.0,0.0,23,0.3958333333333333,0.6145833333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,32.70833333333333
NE,1.1,1.12,1.15,5.0,0.0,0.0,0.0,31,0.041666666666666664,0.875,0.20833333333333334,0.20833333333333334,0.20833333333333334,30.83333333333333
SD,1.14,1.16,1.19,4.0,0.0,0.0,0.0,46,0.13541666666666666,0.7604166666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,30.416666666666657
KS,1.14,1.15,1.18,4.0,0.0,0.0,0.0,20,0.09375,0.7604166666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,29.58333333333333
WY,1.19,1.18,1.21,2.0,0.0,0.0,0.0,56,0.19791666666666666,0.4791666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,26.041666666666664
MT,1.22,1.22,1.23,1.0,0.0,0.0,0.0,30,0.2708333333333333,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,24.58333333333333
SC,1.34,1.36,1.33,-1.0,0.0,0.0,0.0,45,0.4895833333333333,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,23.958333333333336
ND,1.15,1.15,1.17,2.0,0.0,0.0,0.0,38,0.0625,0.4791666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,23.333333333333332
OK,1.22,1.21,1.22,0.0,0.0,0.0,0.0,40,0.23958333333333334,0.1875,0.20833333333333334,0.20833333333333334,0.20833333333333334,21.04166666666667
ID,1.2,1.18,1.2,0.0,0.0,0.0,0.0,16,0.16666666666666666,0.1875,0.20833333333333334,0.20833333333333334,0.20833333333333334,19.583333333333336
MS,1.13,1.13,1.14,1.0,0.0,0.0,0.0,28,0.020833333333333332,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,19.583333333333336
