state_abbr,real_gdp_2024,real_pce_2024,employment_2024,real_gdp_cagr_2021_2024,real_pce_cagr_2021_2024,employment_cagr_2021_2024,state_fips,inbound_interstate_touch_2031,demand_dependency,demand_dependency_winsor,domestic_broad_demand_score,rank_within_scenario,severity
FL,1352275.1,1144372.0,14957046.0,0.04865241215254135,0.04117106825549777,0.03585820659436667,12,63038.01379441075,18.153681106327394,12.098326803646454,10.798194827093154,1,severe
TX,2221943.3,1409346.6,20460749.0,0.05254433392750735,0.03863160996669257,0.033187322921572004,48,165650.45827060475,8.507954730180746,8.507954730180746,10.375165946571437,2,medium
CA,3306928.6,1945732.3,25583169.0,0.016218202872417598,0.032379898413196884,0.022485049355212672,06,99422.66619283399,19.57030901008206,12.098326803646454,8.397556599765156,3,medium
NY,1840059.3,988827.8,13312196.0,0.016761283335905652,0.034277029556701866,0.028759309615962403,36,125340.65260793052,7.889122797956736,7.889122797956736,6.7572230034523475,4,mild
WA,702232.3,377867.1,4904120.0,0.03898010850042044,0.03395780761393996,0.023448584955821916,53,40746.54112415848,9.273599416662238,9.273599416662238,5.123279176078478,5,mild
CO,448838.5,310627.1,4267582.0,0.03373958904293195,0.032473166637884576,0.02288439065823389,08,25324.106864003094,12.266063386485717,12.098326803646454,4.556910374344202,6,
NC,664131.6,505038.2,6844808.0,0.034835820778372106,0.03201482265307121,0.027078243499204957,37,94696.61582082947,5.333223321893112,5.333223321893112,4.35615846036812,7,
AZ,446968.2,342330.5,4457506.0,0.04078253519609043,0.023378324771249126,0.029451523718137418,04,29043.50927326716,11.786816006944969,11.786816006944969,4.280357018953559,8,
GA,697450.9,495810.4,7180379.0,0.02706790665487513,0.029927030245080033,0.026487855133698668,13,95023.14061304588,5.217785865645546,5.217785865645546,3.644205892032897,9,
VA,613708.7,410314.0,5773598.0,0.027469230811647538,0.03067735607627342,0.02304686798713451,51,76820.75977484045,5.341186434534351,5.341186434534351,3.044990078286524,10,
MA,628786.9,392566.5,5057930.0,0.0172036484449527,0.030853939941417163,0.01921184821504296,25,49346.30511628101,7.955337265372663,7.955337265372663,2.956466317303465,11,
SC,278032.8,243011.5,3205971.0,0.04191186658449508,0.03457245282396304,0.02958532920764223,45,55594.160546363535,4.371169518736363,4.371169518736363,2.94698025542706,12,
IL,899125.9,623219.9,8216215.0,0.016078367016335804,0.029840218368551552,0.019664358759460043,17,142176.906466137,4.3834115925741814,4.3834115925741814,2.68832491018535,13,
NJ,675897.6,465124.5,6069474.0,0.02309085382020104,0.022771002734255807,0.02810229230861694,34,91667.07050906825,5.0740631004891465,5.0740631004891465,2.3482346123201503,14,
TN,440200.2,327676.6,4666592.0,0.031000667005645743,0.02674264642863089,0.027770511025874134,47,88736.03428374662,3.692711790028902,3.692711790028902,1.7423444273360686,15,
MD,433105.9,281367.3,4054489.0,0.02080540883703419,0.02618475487017058,0.026348163739798203,24,59652.884482119516,4.716742575697872,4.716742575697872,1.2600197343925619,16,
PA,803232.5,642319.4,8146346.0,0.015884603561436617,0.01772635354879859,0.021235243385113067,42,133803.07707339374,4.800483023627884,4.800483023627884,1.2227623943851578,17,
NV,207351.9,148265.3,2150803.0,0.04324883372889099,0.017252796864247966,0.03988961464791618,32,24402.816217260948,6.075745466423948,6.075745466423948,1.1163899545399079,18,
MO,353307.4,302541.8,4008112.0,0.021383902099357588,0.029945697199645016,0.018619188644639406,29,72865.11839336202,4.152079989312985,4.152079989312985,0.7832138165525001,19,
OK,210315.9,174621.1,2474908.0,0.02553943506043721,0.03127665401326163,0.02304966386863594,40,48338.13647913624,3.6124913519446524,3.6124913519446524,0.003219898639271024,20,
OH,721997.3,545928.0,7434117.0,0.014426494657496791,0.01649042190338812,0.01793511789631297,39,136252.5850779251,4.006734989195066,4.006734989195066,-0.013136575267669953,21,
UT,234300.6,150955.1,2433434.0,0.03505913302321084,0.01935823625953681,0.026515935380504674,49,25002.308853054248,6.037646398466897,6.037646398466897,-0.0622955980156944,22,
OR,263347.7,194361.5,2707024.0,0.016244343545237516,0.024586084934334895,0.018924670447034053,41,29177.19983039984,6.661417172647732,6.661417172647732,-0.2194571174585589,23,
AL,255629.4,221136.9,2969241.0,0.02997947349854191,0.021580111048220108,0.02353189597222638,01,58612.83842993898,3.7728406595481476,3.7728406595481476,-0.5274504990579276,24,
LA,257055.9,212660.8,2850255.0,0.01950558282880044,0.026084669854180786,0.018975670908163655,22,48207.9834287419,4.411319139999751,4.411319139999751,-0.5546189299852663,25,
IN,412003.4,310892.5,4214670.0,0.021200144927240094,0.024348363294285358,0.01945189807453107,18,123526.41695494494,2.5168098263013245,2.5168098263013245,-0.6837193725284088,26,
MI,562177.6,461882.2,5980562.0,0.020675247342464953,0.0074145093987822985,0.022017210609806437,26,99186.77392282181,4.656691429034631,4.656691429034631,-0.8584721435275219,27,
WI,354382.1,280238.9,3867941.0,0.019078791263976713,0.019592923740294754,0.016523891392357992,55,66972.14898532264,4.184409553013091,4.184409553013091,-1.1026707805878828,28,
MN,399253.3,277559.0,3920236.0,0.018422939843782515,0.020651771548353404,0.01843619796087803,27,84345.00963549931,3.290757819573244,3.290757819573244,-1.1670570959411193,29,
AR,147389.9,132881.8,1805358.0,0.023088389302198697,0.025506549417903646,0.023349303155014267,05,37651.85537424808,3.529223159899957,3.529223159899957,-1.7119803459301943,30,
NM,119044.5,89889.1,1183348.0,0.05458657564950298,0.01167438933145215,0.027413328541716853,35,16702.983936458684,5.381619256891773,5.381619256891773,-1.9463313071518547,31,
ME,77758.6,73805.5,903041.0,0.02906873559915013,0.030490426752853406,0.020690840374036013,23,15626.027832835754,4.723241299040106,4.723241299040106,-1.9867908113491368,32,
KY,230966.4,201239.8,2725882.0,0.023317341232894195,0.01754683963850212,0.021619647908722284,21,60978.85182920742,3.3001572506422776,3.3001572506422776,-2.0706091096241748,33,
ID,99567.3,81522.8,1230617.0,0.03828153373467935,0.023019224676741112,0.02676265572130987,16,22299.15435340089,3.6558695772948355,3.6558695772948355,-2.0940257088853764,34,
CT,286160.1,191152.2,2430624.0,0.01858577145957918,0.01411905649498757,0.020158034884966147,09,39529.801489725694,4.835647860505521,4.835647860505521,-2.160049208575781,35,
KS,181599.6,136236.6,2015348.0,0.021442866062538313,0.026585699703801202,0.016264013601192673,20,48699.28947840004,2.797506934067817,2.797506934067817,-2.486435279120596,36,
NE,148102.8,98111.8,1405802.0,0.03093553019125883,0.030548531055411887,0.017496478595583342,31,53312.79074567785,1.840305086785465,1.843894232006606,-2.808281050447898,37,
WV,82716.5,80418.6,914033.0,0.027591628242372268,0.025217255851433418,0.018721751174582746,54,31455.74448286207,2.556563238991664,2.556563238991664,-3.965601011438309,38,
MT,60605.7,56838.8,764760.0,0.04344799382714615,0.019360108086215577,0.022727074996325314,30,17263.57077944553,3.29241271844373,3.29241271844373,-4.020984354082593,39,
DE,85350.5,51253.2,674338.0,0.0430828914837631,0.02070519787902625,0.028441265954531003,10,30952.035849100917,1.6558910777265974,1.843894232006606,-4.2278714852618355,40,
IA,206438.9,147759.5,2132090.0,0.006490906557641285,0.02169731023989896,0.012168907529119588,19,60924.499957731656,2.425288678651658,2.425288678651658,-4.269533517203339,41,
NH,94926.0,75364.1,950273.0,0.016805220641156637,0.022732354402148047,0.020308295341199933,33,26892.541129480844,2.8024164632542816,2.8024164632542816,-4.460751744499961,42,
ND,63366.4,42061.5,604751.0,0.03380490712219708,0.0274962923693296,0.02146076352261095,38,29821.793651523545,1.4104282422278496,1.843894232006606,-4.85578802628891,43,
MS,123419.3,120277.8,1710873.0,0.020650897692990666,0.012941744422073853,0.01742494693530916,28,44210.507363042096,2.720570452004054,2.720570452004054,-4.934778777373006,44,
RI,63459.1,51041.2,688383.0,0.01515065888457845,0.019367139516992093,0.024485289490578488,44,18875.205365764996,2.7041401145534683,2.7041401145534683,-5.630651791852927,45,
SD,57718.0,45663.4,662833.0,0.01003078452228423,0.026841363788785433,0.019785802597966917,46,24634.383660298863,1.8536449147535123,1.8536449147535123,-6.0840813815228545,46,
VT,36398.9,33526.7,444869.0,0.027189692675505972,0.026898723968145077,0.018440263769969212,50,17472.943942260437,1.9187779752965155,1.9187779752965155,-6.306713784276095,47,
WY,39780.7,30523.5,447255.0,0.022768998321223144,0.02094238420514105,0.021343802402477907,56,16494.198246142383,1.850559787417297,1.850559787417297,-7.191860890772476,48,
