state_abbr,construction_rank,bottleneck_rank,overlap_count,construction_score,bottleneck_score,total_score
NE,2.0,4.0,2,14.0,12.0,26.0
WA,4.0,6.0,2,12.0,10.0,22.0
LA,9.0,3.0,2,7.0,13.0,20.0
NC,1.0,11.0,2,15.0,5.0,20.0
CO,7.0,7.0,2,9.0,9.0,18.0
OR,6.0,9.0,2,10.0,7.0,17.0
MN,3.0,13.0,2,13.0,3.0,16.0
VA,14.0,2.0,2,2.0,14.0,16.0
KS,5.0,12.0,2,11.0,4.0,15.0
SD,10.0,15.0,2,6.0,1.0,7.0
NJ,,1.0,1,0.0,15.0,15.0
OK,,5.0,1,0.0,11.0,11.0
AL,8.0,,1,8.0,0.0,8.0
NV,,8.0,1,0.0,8.0,8.0
NM,,10.0,1,0.0,6.0,6.0
WI,11.0,,1,5.0,0.0,5.0
ND,12.0,,1,4.0,0.0,4.0
IA,13.0,,1,3.0,0.0,3.0
UT,,14.0,1,0.0,2.0,2.0
SC,15.0,,1,1.0,0.0,1.0
