state_abbr,role,role_rationale,commodity_rank,sctg2,commodity_label,touch_2031,share_of_state_touch
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",1,2,Cereal grains,64202.7526787108,0.3651
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",2,3,Other ag products,15628.041542685678,0.0889
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",3,31,Nonmetal mineral products,9483.724951261822,0.0539
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",4,12,Gravel,7731.605466788004,0.044
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",5,4,Animal feed,6376.4181716156745,0.0363
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,12,Gravel,19046.14025000214,0.1728
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,31,Nonmetal mineral products,16894.230496868106,0.1533
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,41,Waste/scrap,8878.043259467966,0.0806
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,11,Natural sands,7174.986634642119,0.0651
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,5,7,Other foodstuffs,5906.771413151599,0.0536
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,1,31,Nonmetal mineral products,21099.099740441878,0.1147
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,2,12,Gravel,20064.69767015355,0.1091
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,3,17,Gasoline,11287.749798119983,0.0614
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,4,7,Other foodstuffs,8470.499119206963,0.046
