state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips,orig_interstate_touch,dest_interstate_touch,total_interstate_touch_2031,inbound_interstate_touch_2031,outbound_interstate_touch_2031,trade_dependency,import_dependency,export_dependency,trade_dependency_winsor,import_dependency_winsor,export_dependency_winsor,trade_external_enhanced_score,rank_within_scenario,severity
CA,2024,183933700133,46495696051,34603877705,15024728488,19493733238,33471792945,491467418851,279486634105,209782183261,122788985386,16254797351,64270583761,137813713874,35748530589,97742376706,675401118984,325982330156,244386060966,0.727667463137032,0.272332536862968,0.48264997050400565,0.36183840105806725,0.20404720987331493,0.05292933278342239,0.1447175226079474,0.3226353231081368,06,106427.7965821957,99422.66619283399,205850.4627750297,99422.66619283399,106427.7965821957,3281027.935905754,4943213.028483671,1728248.6910357613,1636234.5292888307,1817373.984515528,1686843.1300412694,7.06131585652153,1,severe
GA,2024,53442647110,17802310473,14323856149,3054943242,7774908499,6366387122,145613705179,97288109154,74551252934,17330729860,6515875308,18627261110,20385673102,14290783807,24993648232,199056352289,115090419627,88875109083,0.7315200118185162,0.26847998818148383,0.5781800897260789,0.446482154731574,0.10241156771728167,0.07179265390260905,0.12556066633690227,0.22082355986098845,13,89084.02663705726,95023.14061304588,184107.16725010314,95023.14061304588,89084.02663705726,1081198.2784928135,1532402.5730950052,599912.7916358563,1081198.2784928135,1532402.5730950052,599912.7916358563,5.050354667729877,2,medium
NJ,2024,43108791502,13623743700,10096142428,2166465945,8669900288,3543089857,153110778058,107010134173,67180654276,14259305452,10136334805,7020334365,16425771397,18806235093,10563424222,196219569560,120633877873,77276796704,0.780303302067849,0.21969669793215094,0.6147902482076977,0.39382818379066065,0.08371117842034267,0.09584281086321225,0.053834713049708924,0.17351769276809537,34,99499.46334455951,91667.07050906825,191166.53385362774,91667.07050906825,99499.46334455951,1026432.6375778789,1670292.0384354747,433256.5227283422,1026432.6375778789,1670292.0384354747,433256.5227283422,4.586148630460576,3,medium
MI,2024,62639471186,11739323756,8577662244,2062560489,24464178071,17089604238,172997322579,43027438832,24357999435,8945837953,44780129480,75179695750,11008398442,69244307551,92269299988,235636793765,54766762588,32935661679,0.7341693961068313,0.2658306038931687,0.23242025030530147,0.13977300044171648,0.04671765502368297,0.29386033668433453,0.39157424659249074,0.45797840498977815,26,104210.41794964692,99186.77392282181,203397.19187246874,99186.77392282181,104210.41794964692,1158505.6391178973,1744157.1666965485,601086.4596691912,1158505.6391178973,1744157.1666965485,601086.4596691912,4.572584962335398,4,mild
IL,2024,81833900449,25383990896,17508159190,4711031060,20935723180,13031305570,218080510135,48442828832,42806038551,42009337925,63760369012,19334764059,46720368985,84696092192,32366069629,299914410584,73826819728,60314197741,0.727142486119119,0.2728575138808809,0.24615962795599844,0.20110470058292582,0.1557790067307038,0.28240087572677114,0.10791768746948861,0.38997014464845964,17,149638.67708744324,142176.906466137,291815.5835535802,142176.906466137,149638.67708744324,1027753.2369306547,1533867.317523478,546876.6634523195,1027753.2369306547,1533867.317523478,546876.6634523195,4.23439032949742,5,mild
TX,2024,454408411812,267560897235,39192880952,22486036474,37516055960,123663281653,396885126667,144013985635,82577878374,35816614413,38542135307,157497825330,58302650887,76058191267,281161106983,851293538479,411574882870,121770759326,0.4662141890282778,0.5337858109717222,0.4834699950916553,0.1430420340597991,0.06848712958772003,0.08934426003384523,0.33027515689282516,0.32025877974372224,48,203287.98404684558,165650.45827060475,368938.4423174503,165650.45827060475,203287.98404684558,2307413.4891763623,2395919.279732102,2235294.0039352565,1636234.5292888307,1817373.984515528,1686843.1300412694,4.074682234593348,6,
SC,2024,37965815450,21049112069,9938285720,3416773397,4300988857,3639812417,58052115455,40728337670,38985375881,9166392136,3456671313,5675656280,12583165533,7757660170,9315468697,96017930905,61777449739,48923661601,0.6045966092774555,0.39540339072254455,0.6433949279757186,0.5095263055543761,0.13105016338510528,0.08079386940419928,0.09701801121101757,0.23773729175423536,45,52746.023545363714,55594.160546363535,108340.18409172725,55594.160546363535,52746.023545363714,886263.3168843936,1044212.4655625768,719785.3581767706,886263.3168843936,1044212.4655625768,719785.3581767706,3.8953366318076728,7,
WA,2024,57840018724,23765033892,6350451801,11873705863,8113527653,4322340211,61615625138,37826027493,24231657413,11211794690,17365955852,1459435383,23085500553,25479483505,5781775594,119455643862,61591061385,30582109214,0.515803382292936,0.484196617707064,0.5155977515482859,0.25601225882076944,0.1932558379549593,0.2132966068512839,0.04840102490828597,0.35027441701070117,53,35926.65817910248,40746.54112415848,76673.19930326096,40746.54112415848,35926.65817910248,1557984.3406497773,1512168.234114682,1609947.0881943565,1557984.3406497773,1512168.234114682,1609947.0881943565,3.545671302651273,8,
FL,2024,72440498711,25869650346,19701653206,1695701821,5480634577,4509833496,117048884721,62356777176,44293981800,12582862091,6276239735,9913535574,14278563912,11756874312,14423369070,189489383432,88226427522,63995635006,0.6177068213586967,0.38229317864130336,0.46560090029350304,0.33772675728276574,0.07535284380258693,0.06204502911488475,0.07611702992941533,0.15825007922916698,12,49862.87726729566,63038.01379441075,112900.89106170641,63038.01379441075,49862.87726729566,1678369.2462483211,1856798.424879594,1452794.1964254172,1636234.5292888307,1817373.984515528,1452794.1964254172,3.0521946179421455,9,
TN,2024,39406408252,10972473184,9220244791,3550172789,7999010356,6710334674,120488247914,39876016337,31627319110,20950692669,5963890231,14754465296,24500865458,13962900587,21464799970,159894656166,50848489521,40847563901,0.7535476844761534,0.2464523155238466,0.31801243856586386,0.25546547258335345,0.15323129643909802,0.08732562376883907,0.13424338551824772,0.2861727020113501,47,98448.58184935454,88736.03428374662,187184.61613310117,88736.03428374662,98448.58184935454,854208.3183390662,1357827.729022924,400274.00610299764,854208.3183390662,1357827.729022924,400274.00610299764,2.963331714394478,10,
