state_abbr,year,total_export_value_usd,vessel_export_value_usd,container_export_value_usd,china_export_value_usd,canada_export_value_usd,mexico_export_value_usd,total_import_value_usd,vessel_import_value_usd,container_import_value_usd,china_import_value_usd,canada_import_value_usd,mexico_import_value_usd,china_trade_value_usd,canada_trade_value_usd,mexico_trade_value_usd,total_trade_value_usd,total_vessel_trade_value_usd,total_container_trade_value_usd,import_intensity,export_intensity,maritime_share,container_share,china_trade_share,canada_trade_share,mexico_trade_share,trade_war_partner_exposure,state_fips
AK,2018,4833794580,4549270993,1604056566,1017725463,654165278,32817946,1901779467,1138438047,110364874,318896347,513373256,23103373,1336621810,1167538534,55921319,6735574047,5687709040,1714421440,0.2823485353630765,0.7176514646369234,0.8444282551586356,0.25453234246063955,0.19844215217191866,0.17333912831379494,0.008302383525114263,0.3074270592752642,02
AK,2019,4988675643,4469429930,1507438253,855332402,581876706,23168502,2287159022,1177637164,133803699,124659000,716076462,58797382,979991402,1297953168,81965884,7275834665,5647067094,1641241952,0.3143500542971725,0.6856499457028274,0.7761401068065639,0.22557438803483312,0.13469126871645318,0.17839233954060718,0.011265495681793369,0.2484859698498935,02
AK,2020,4611480333,3995663606,1248157610,1193831875,499618909,22932647,2367315272,866660316,136279739,115249439,443015498,43678369,1309081314,942634407,66611016,6978795605,4862323922,1384437349,0.3392154471903322,0.6607845528096677,0.6967282318049778,0.19837768969879438,0.18757983298179715,0.13507121577319786,0.009544772446448515,0.27434942591358497,02
AK,2021,5988929055,4894485861,1585113169,1381173596,743979108,26389152,3798511393,1583050425,90739217,119258609,676498859,31586326,1500432205,1420477967,57975478,9787440448,6477536286,1675852386,0.388100588011874,0.6118994119881259,0.6618212719060419,0.17122478495820115,0.1533017966210567,0.14513273153966066,0.005923456526557657,0.24393550946078768,02
AK,2022,5582808243,4545006254,1621999176,1084096988,824429667,35222826,3701457944,2285689848,138166084,106107780,1018042800,51935388,1190204768,1842472467,87158214,9284266187,6830696102,1760165260,0.3986807217120562,0.6013192782879438,0.7357281625083592,0.18958582450647696,0.12819589012501026,0.1984510600934583,0.009387733208472688,0.25289916610616886,02
AK,2023,5263860648,3952917585,1404725251,1169280917,596364515,46877436,3236630379,2041083032,102979519,68199187,750120888,99189890,1237480104,1346485403,146067326,8500491027,5994000617,1507704770,0.3807580490020556,0.6192419509979444,0.705135808974015,0.17736678566109848,0.1455774848852152,0.1584008969273864,0.017183398645566266,0.2509280622289868,02
AK,2024,5912480927,4467403556,1521448293,1513509192,617559297,31465220,3630652209,2000583743,147533483,91640901,1018994044,45530038,1605150093,1636553341,76995258,9543133136,6467987299,1668981776,0.380446563750004,0.6195534362499959,0.6777634983002085,0.1748882418609485,0.1681994864920011,0.17149015084221705,0.008068132017308577,0.2759344562077165,02
AK,2025,6702047490,5110390906,1979342952,802765811,633196946,75643368,3140877176,2020629780,92234153,58094476,1278049137,22001392,860860287,1911246083,97644760,9842924666,7131020686,2071577105,0.319099991372422,0.6809000086275779,0.7244818921181408,0.21046357411997285,0.08745980653226305,0.19417461251145574,0.009920299434708688,0.20991675369996168,02
AL,2018,21416285400,12523959383,4268116158,3010369052,4106986122,2602054829,26210853961,18155578120,13349579251,2803986889,3115330008,4133457290,5814355941,7222316130,6735512119,47627139361,30679537503,17617695409,0.5503344167351576,0.44966558326484246,0.644160827515966,0.36990874626046594,0.12208072999994513,0.15164287057547007,0.14142172318909935,0.2979194862586868,01
AL,2019,20795690461,12376754670,4126060242,2317350211,3919648539,2232563444,28308682587,18932857863,14811025043,3164787836,2969850052,4953169139,5482138047,6889498591,7185732583,49104373048,31309612533,18937085285,0.5765002347006445,0.42349976529935557,0.6376135278704108,0.385649670478204,0.1116425627029421,0.1403031576080902,0.14633589916677842,0.28362599676786326,01
AL,2020,17391820422,11162933167,3629638202,3088813204,2960867376,1848465088,25482593828,17443349281,14935778989,3174054153,2567990110,4152888813,6262867357,5528857486,6001353901,42874414250,28606282448,18565417191,0.5943543316862924,0.40564566831370763,0.6672110382942433,0.43301856167049557,0.14607470367947942,0.1289547060342638,0.1399751811419791,0.30743263598522513,01
AL,2021,20926846807,13376377092,4154293914,3152071617,3502288964,2469478460,31526716108,20322537247,16767716990,3956121685,3266380467,5530185285,7108193302,6768669431,7999663745,52453562915,33698914339,20922010904,0.6010405081364719,0.3989594918635281,0.6424523419621361,0.39886729787838665,0.1355140224415011,0.12904117575327534,0.1525094445531432,0.3044443946253522,01
AL,2022,25995240937,17221861498,4094915361,3229784566,3979673121,3115041502,37037259450,24586886772,19270179173,4708250159,3016465464,7901795535,7938034725,6996138585,11016837037,63032500387,41808748270,23365094534,0.5875898817689719,0.4124101182310282,0.6632887480792806,0.37068328862960487,0.1259355836475299,0.11099256006101423,0.17478026366334887,0.29739927788214776,01
AL,2023,27773047043,18606899132,3314842173,3751693195,4011412463,3517452304,37179927433,25099961825,20730442251,4295254874,3437368658,8112598834,8046948069,7448781121,11630051138,64952974476,43706860957,24045284424,0.57241300699382,0.42758699300617997,0.672900068235514,0.3701952777064072,0.12388883086444843,0.11467959983499001,0.17905340335564282,0.3001286327788281,01
AL,2024,26943288985,16651115895,3243057475,4192283862,4586495518,4203875150,38749217148,26548072514,22557877055,3988537781,3806569711,6894587334,8180821643,8393065229,11098462484,65692506133,43199188409,25800934530,0.5898574956106706,0.41014250438932937,0.6575969003456743,0.39275308629212347,0.12453203758792881,0.1277629020882159,0.16894563988060116,0.302557162769219,01
AL,2025,23669519775,13806669643,3125894834,2008430390,4304874125,4016904017,34910896711,24036209995,19210891588,2856997375,3314135866,6513091774,4865427765,7619009991,10529995791,58580416486,37842879638,22336786422,0.5959482503737964,0.40405174962620355,0.64599881509965,0.38130125666379,0.08305553386024112,0.13006070028233496,0.17975283247630272,0.2689436535154237,01
AR,2018,6449271293,2792738752,2008464810,307175372,1211963635,870092445,11496375801,7231570071,7034218854,5164195856,898603885,900070032,5471371228,2110567520,1770162477,17945647094,10024308823,9042683664,0.6406219703742938,0.3593780296257062,0.5585927757573901,0.5038928725519938,0.3048857028860951,0.11760888358858083,0.09864021440563385,0.43463516168262395,05
